"SamplingSize","Metrics","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"19","PERF1","347.091335978817","0.727309493619095","5.67013933255681","2.15429877746907","19.6463110034895","1.22024197861472","18.094318051547","0.543682953408305","0.714082820074899","0.0394958508848956"
"19","PERF2","347.091335978817","0.727309493619095","18.1550040772585","7.80362990428162","41.6654599605147","4.03219226681467","34.8268146317508","2.83680002457594","0.697889115129198","0.0331928570679299"
"38","PERF1","338.881462585019","0.846169911139898","8.44356386240092","1.52194779423088","16.2606375751056","0.537090629793884","16.759906733338","0.470984986815345","1.31905133635909","0.0284438193004965"
"38","PERF2","338.881462585019","0.846169911139898","11.2835882540134","2.74777036718917","27.2874895072904","4.00086716323342","30.9869722728675","1.89290692519549","1.32794431277684","0.0251399558854744"
"57","PERF1","329.79558150182","0.804742122812504","9.8586513107126","1.29701138894459","14.8367481512474","0.714653422401031","15.3937323367894","0.299314096760917","1.97974135194506","0.0420133070854571"
"57","PERF2","329.79558150182","0.804742122812504","9.85712161453475","2.28267691532684","18.7719232881742","2.84148434216851","28.6083916294721","1.69347061514795","1.96265803064619","0.034867617359456"
"76","PERF1","321.098973429944","0.597367122062867","9.29183116226244","1.06166829692726","12.605302721206","0.585523645295137","15.5126875679055","0.270956782861921","2.00241566555841","0.0297474676179838"
"76","PERF2","321.098973429944","0.597367122062867","9.73061137467216","3.23975979136341","14.3130688261125","1.31317768668478","29.6806279919398","1.70496332369806","1.98707396643502","0.0257767506177704"
"95","PERF1","312.662828765223","0.659020762193991","8.3529625028864","1.05581965447576","12.4213577158382","0.594234492661719","15.7723935511532","0.28565035031394","2.05485790116446","0.042356461680029"
"95","PERF2","312.662828765223","0.659020762193991","8.41713091927094","0.865741479278447","11.0917914034503","0.639006469079365","29.8729737868544","1.44315213409707","2.06423796074731","0.0396102290713747"
"114","PERF1","304.222864655569","0.657379924861821","8.75109250720967","0.697234749733617","10.9227345197303","0.502051589293458","12.6250417927866","0.343461428591498","2.11306787388665","0.0288891994275023"
"114","PERF2","304.222864655569","0.657379924861821","7.95740016853325","1.06903944309934","10.0546600010466","0.536033219231461","16.2619098117709","0.744602734788307","2.11110704285758","0.0325019194392212"
"133","PERF1","294.863256448414","0.499048924972239","7.54513094151359","0.635575440370058","10.091325013834","0.462910300719039","12.6394530929236","0.289555277347045","2.12862435976664","0.015419587055607"
"133","PERF2","294.863256448414","0.499048924972239","7.61345737792937","0.917837801138943","9.41221238031828","0.536851630478029","16.9841021320508","0.723564087193929","2.12955128295081","0.0179217874271278"
"152","PERF1","286.44114746264","0.433583373775614","7.83784244604421","0.701027897213711","9.75149325724372","0.614506240224803","12.5035328167177","0.315405287771274","2.23384533988105","0.0329237600936267"
"152","PERF2","286.44114746264","0.433583373775614","7.40675652480708","0.874277661270902","8.55617444224545","0.389929624842759","17.7792979775547","0.599307078365694","2.21193150111607","0.0242164519022414"
"171","PERF1","278.224172850965","0.77095100649645","7.50773365874191","0.671365988216305","8.6972748367868","0.461485393339139","12.5331685569691","0.265010997294563","2.26074951035636","0.0113709392492774"
"171","PERF2","278.224172850965","0.77095100649645","6.5466683697694","0.555225134297148","7.88617900962656","0.32522723360932","17.1524213835031","0.695364155854748","2.26067994322096","0.0112168405588469"
"PERF1","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.96079769468139","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","-0.253277535515559","","","","","","","",""
"","","SpearMan's correlation","0.25","","","","","","","",""
"PERF2","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.86694349083867","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.9755461657746","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
